Pubchem_ID,taste_cluster,MolecularWeight,ConnectivitySMILES,XLogP,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,AtomStereoCount,BondStereoCount,Volume3D,EffectiveRotorCount3D
95609,0,116.16,CCC(C(=O)CC)O,0.7,37.3,78.0,0.0,1.0,2.0,3.0,8.0,1.0,0.0,98.0,3.0
104224,0,216.36,CCCCCCCCCCC(OC)OC,5.1,18.5,111.0,0.0,0.0,2.0,11.0,15.0,0.0,0.0,192.4,11.0
-491960711349,3,,,,,,,,,,,,,,
5284499,6,268.5,CCCCCCCCC=CCCCCCCCCO,7.4,20.2,175.0,0.0,1.0,1.0,15.0,19.0,0.0,1.0,246.4,15.0
10886,4,186.29,CCCCCC(=O)OCCCCC,3.8,26.3,121.0,0.0,0.0,2.0,9.0,13.0,0.0,0.0,164.4,9.0
12978217,3,192.30,CC=CC(=O)C1C(C=CCC1(C)C)C,3.4,17.1,271.0,0.0,0.0,1.0,2.0,14.0,2.0,1.0,165.9,2.8
61400,1,164.20,COC1=C(C=C(C=C1)C=C)OC,2.3,18.5,145.0,0.0,0.0,2.0,3.0,12.0,0.0,0.0,137.2,3.0
605629,4,206.28,CC(C)(C)C1=CC=C(C=C1)CC(=O)OC,3.5,26.3,207.0,0.0,0.0,2.0,4.0,15.0,0.0,0.0,174.0,4.0
121667,0,208.21,CCOC1C(C(C(C(O1)CO)O)O)O,-1.8,99.4,175.0,0.0,4.0,6.0,3.0,14.0,5.0,0.0,149.4,4.2
6428802,0,148.20,CC1=C(N=C2CCCC2=N1)C,1.3,25.8,130.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,120.6,0.6
61405,7,210.31,C=CCOC(=O)CCCC1CCCCC1,4.3,26.3,193.0,0.0,0.0,2.0,7.0,15.0,0.0,0.0,179.2,8.2
7749,3,102.13,CCC(=O)OCC,1.2,26.3,59.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,86.7,3.0
12217,7,144.21,CCCCCOC(=O)CC,2.4,26.3,89.0,0.0,0.0,2.0,6.0,10.0,0.0,0.0,125.5,6.0
61183,7,158.19,CCC(=O)OCC1CCCO1,1.0,35.5,133.0,0.0,0.0,3.0,4.0,11.0,1.0,0.0,127.6,5.0
16418,2,84.12,C=CCCC=O,0.8,17.1,47.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,76.3,3.0
62901,2,224.30,CCCCCCCCOC(=O)C1=CC=CO1,4.6,39.4,192.0,0.0,0.0,3.0,9.0,16.0,0.0,0.0,187.9,9.0
27941,0,168.28,CCC(C)(C)C1CCC(=O)CC1,2.9,17.1,160.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,144.6,3.0
7733,3,196.24,CC(C)COC(=O)CCC1=CC=CO1,2.3,39.4,177.0,0.0,0.0,3.0,6.0,14.0,0.0,0.0,161.7,6.0
98461,4,130.18,CC1COC(O1)C(C)C,1.6,18.5,90.0,0.0,0.0,2.0,1.0,9.0,2.0,0.0,107.7,2.0
6019677,4,168.23,CCC=CCCC1CCC(=O)O1,2.4,26.3,173.0,0.0,0.0,2.0,4.0,12.0,1.0,1.0,143.0,4.8
5354899,6,182.30,CCCCCCCCCC=CC=O,4.8,17.1,127.0,0.0,0.0,1.0,9.0,13.0,0.0,1.0,167.8,9.0
20739,0,142.24,CC(C)C1CCC(CC1)O,2.6,20.2,90.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,122.2,2.2
106756,4,184.27,CCCCCCC1C(CC(=O)O1)C,3.6,26.3,165.0,0.0,0.0,2.0,5.0,13.0,2.0,0.0,158.0,5.8
8748,1,154.25,CC(=C)C1CCC(CC1)(C)O,2.5,20.2,152.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0,132.6,2.2
77153,0,210.36,C1CCCCCCC(=O)CCCCCC1,5.3,17.1,147.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,185.6,2.6
576021,3,242.40,CCCCCCCCCOC(=O)CCCCC,6.0,26.3,166.0,0.0,0.0,2.0,13.0,17.0,0.0,0.0,215.4,13.0
8499,1,166.17,COC1=CC=C(C=C1)C(=O)OC,2.3,35.5,148.0,0.0,0.0,3.0,3.0,12.0,0.0,0.0,132.2,3.0
6435033,4,182.26,CCC=CCCOC(=O)C(=CC)C,3.1,26.3,202.0,0.0,0.0,2.0,6.0,13.0,0.0,2.0,159.6,6.0
111470,6,172.26,CC(C)CCCCCCC(=O)O,3.8,37.3,119.0,0.0,1.0,2.0,7.0,12.0,0.0,0.0,150.3,7.0
5281522,0,204.35,CC1=CCCC(=C)C2CC(C2CC1)(C)C,4.4,0.0,293.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,181.5,1.2
528698,0,140.18,CCC1=C(C(=O)CC1C)O,1.1,37.3,191.0,0.0,1.0,2.0,1.0,10.0,1.0,0.0,116.8,1.4
5354998,2,98.14,CC(C)C=CC=O,1.3,17.1,72.0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,89.0,2.0
5463910,4,156.26,CCC(C)CCCC(C)C=O,3.5,17.1,99.0,0.0,0.0,1.0,6.0,11.0,2.0,0.0,142.3,6.0
71587638,4,182.26,CCC=CCC=CCCOC(=O)C,2.8,26.3,181.0,0.0,0.0,2.0,7.0,13.0,0.0,2.0,159.8,7.0
527991,3,158.24,CCCOC(=O)CCC(C)C,2.6,26.3,108.0,0.0,0.0,2.0,6.0,11.0,0.0,0.0,137.7,6.0
5282722,2,156.22,CCCCCCC=CC(=O)O,3.2,37.3,128.0,0.0,1.0,2.0,6.0,11.0,0.0,1.0,135.2,6.0
61296,7,172.22,CC(C)CCOC(=O)CC(=O)C,1.6,43.4,161.0,0.0,0.0,3.0,6.0,12.0,0.0,0.0,143.3,6.0
81045,2,242.40,CCCCCCCCC(=O)OCCCCCC,6.0,26.3,166.0,0.0,0.0,2.0,13.0,17.0,0.0,0.0,215.3,13.0
109637,0,206.28,CCCCCC(=O)OC1=CC=C(C=C1)C,3.9,26.3,181.0,0.0,0.0,2.0,6.0,15.0,0.0,0.0,174.9,6.0
82336,0,179.22,CN(C)C1=CC=CC=C1C(=O)OC,1.9,29.5,180.0,0.0,0.0,3.0,3.0,13.0,0.0,0.0,146.4,3.0
5283324,2,126.20,CCCCCC=CC=O,2.6,17.1,84.0,0.0,0.0,1.0,5.0,9.0,0.0,1.0,115.5,5.0
221691,4,220.31,CCCCCCOC(=O)CC1=CC=CC=C1,4.2,26.3,183.0,0.0,0.0,2.0,8.0,16.0,0.0,0.0,189.2,8.0
281254,7,178.23,COC(=O)CCCC1=CC=CC=C1,2.8,26.3,148.0,0.0,0.0,2.0,5.0,13.0,0.0,0.0,150.8,5.0
75033,1,136.15,C1=CC=C(C=C1)OCC=O,1.8,26.3,95.0,0.0,0.0,2.0,3.0,10.0,0.0,0.0,111.8,3.0
14079,0,109.13,CC(=O)C1=CC=CN1,0.9,32.9,101.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,90.1,1.0
14249070,7,188.22,CCCC(=O)C(C)(C(=O)OCC)O,0.8,63.6,200.0,0.0,1.0,4.0,6.0,13.0,1.0,0.0,150.4,6.0
62321,7,224.34,CCCC(=O)OC(C)(CCC=C(C)C)C=C,4.1,26.3,262.0,0.0,0.0,2.0,8.0,16.0,1.0,0.0,195.0,8.0
109828,0,182.22,CCCC(=O)OC1=C(CCC1=O)C,1.2,43.4,263.0,0.0,0.0,3.0,4.0,13.0,0.0,0.0,149.0,4.4
1201521,1,152.23,CC1(C2CCC(C2)(C1=O)C)C,2.3,17.1,217.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,130.2,0.8
2758,0,154.25,CC1(C2CCC(O1)(CC2)C)C,2.5,9.2,164.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,128.0,1.2
5367761,3,128.17,CCC=CC(=O)OCC,1.7,26.3,105.0,0.0,0.0,2.0,4.0,9.0,0.0,1.0,110.4,4.0
1551246,4,149.23,CC(=CCCC(=CC#N)C)C,3.3,23.8,208.0,0.0,0.0,1.0,3.0,11.0,0.0,1.0,136.2,3.0
62017,3,184.23,CC(=O)C1(CCCCC1)OC(=O)C,1.5,43.4,214.0,0.0,0.0,3.0,3.0,13.0,0.0,0.0,144.6,4.2
