Pubchem_ID,taste_cluster,SMILES
95609,0,CCC(C(=O)CC)O
104224,0,CCCCCCCCCCC(OC)OC
5284499,6,CCCCCCCCC=CCCCCCCCCO
10886,4,CCCCCC(=O)OCCCCC
12978217,3,CC=CC(=O)C1C(C=CCC1(C)C)C
61400,1,COC1=C(C=C(C=C1)C=C)OC
605629,4,CC(C)(C)C1=CC=C(C=C1)CC(=O)OC
121667,0,CCOC1C(C(C(C(O1)CO)O)O)O
6428802,0,CC1=C(N=C2CCCC2=N1)C
61405,7,C=CCOC(=O)CCCC1CCCCC1
7749,3,CCC(=O)OCC
12217,7,CCCCCOC(=O)CC
61183,7,CCC(=O)OCC1CCCO1
16418,2,C=CCCC=O
62901,2,CCCCCCCCOC(=O)C1=CC=CO1
27941,0,CCC(C)(C)C1CCC(=O)CC1
7733,3,CC(C)COC(=O)CCC1=CC=CO1
98461,4,CC1COC(O1)C(C)C
6019677,4,CCC=CCCC1CCC(=O)O1
5354899,6,CCCCCCCCCC=CC=O
20739,0,CC(C)C1CCC(CC1)O
106756,4,CCCCCCC1C(CC(=O)O1)C
8748,1,CC(=C)C1CCC(CC1)(C)O
77153,0,C1CCCCCCC(=O)CCCCCC1
576021,3,CCCCCCCCCOC(=O)CCCCC
8499,1,COC1=CC=C(C=C1)C(=O)OC
6435033,4,CCC=CCCOC(=O)C(=CC)C
111470,6,CC(C)CCCCCCC(=O)O
5281522,0,CC1=CCCC(=C)C2CC(C2CC1)(C)C
528698,0,CCC1=C(C(=O)CC1C)O
5354998,2,CC(C)C=CC=O
5463910,4,CCC(C)CCCC(C)C=O
71587638,4,CCC=CCC=CCCOC(=O)C
527991,3,CCCOC(=O)CCC(C)C
5282722,2,CCCCCCC=CC(=O)O
61296,7,CC(C)CCOC(=O)CC(=O)C
81045,2,CCCCCCCCC(=O)OCCCCCC
109637,0,CCCCCC(=O)OC1=CC=C(C=C1)C
82336,0,CN(C)C1=CC=CC=C1C(=O)OC
5283324,2,CCCCCC=CC=O
221691,4,CCCCCCOC(=O)CC1=CC=CC=C1
281254,7,COC(=O)CCCC1=CC=CC=C1
75033,1,C1=CC=C(C=C1)OCC=O
14079,0,CC(=O)C1=CC=CN1
14249070,7,CCCC(=O)C(C)(C(=O)OCC)O
62321,7,CCCC(=O)OC(C)(CCC=C(C)C)C=C
109828,0,CCCC(=O)OC1=C(CCC1=O)C
1201521,1,CC1(C2CCC(C2)(C1=O)C)C
2758,0,CC1(C2CCC(O1)(CC2)C)C
5367761,3,CCC=CC(=O)OCC
1551246,4,CC(=CCCC(=CC#N)C)C
62017,3,CC(=O)C1(CCCCC1)OC(=O)C
117477,3,CCOC(=O)CCC(C)C
5356259,0,CC=CC(=O)OCC1=CC=CC=C1
8175,1,CCCCCCCCCC=O
347744,7,CC(C)C(=O)OCCC1CCCCC1
137829,3,CC(C1CCCCC1)O
175211,0,CCOC(C)(CCC=C(C)C)C=C
37065,4,CCC=CCCOC(=O)CC(C)C
6877,4,CCOC(=O)C1=CC=CC=C1N
13181,4,C=CCCCO
107065,0,CC1CCC2C13CC(C2(C)C)C(=C(C3)C(=O)C)C
70273,3,CC(=O)OC1CCCC1
